#,Title,R.,Conf.,R0. Avg.,R. Avg.,Conf. Avg.,Corr.,Status
1,The mechanistic basis of data dependence and abrupt learning in an in-context classification task,"8,8,10,10","3,4,4,4",8.25,9,3.75,0.58,Oral
2,Meta Continual Learning Revisited: Implicitly Enhancing Online Hessian Approximation via Variance Reduction,"8,8,10","3,5,4",6.67,8.67,4,0,Oral
3,Privileged Sensing Scaffolds Reinforcement Learning,"8,8,8,10","3,3,2,4",7.75,8.5,3,0.82,Poster
4,LRM: Large Reconstruction Model for Single Image to 3D,"8,8,8,10","4,3,5,5",7.5,8.5,4.25,0.52,Oral
5,Real3D-Portrait: One-shot Realistic 3D Talking Portrait Synthesis,"8,8,8,10","4,3,5,4",6.25,8.5,4,0,Spotlight
6,Beyond Weisfeiler-Lehman: A Quantitative Framework for GNN Expressiveness,"8,8,8,10","3,4,5,4",7.5,8.5,4,0,Oral
7,DreamGaussian: Generative Gaussian Splatting for Efficient 3D Content Creation,"8,8,8,10","4,3,4,5",6.5,8.5,4,0.82,Oral
8,Understanding and Mitigating the Label Noise in Pre-training on Downstream Tasks,"8,8,8,10","3,4,4,5",6.75,8.5,4,0.82,Spotlight
9,Monte Carlo guided Denoising Diffusion models for Bayesian linear inverse problems.,"6,8,10,10","4,4,3,2",8.5,8.5,3.25,-0.82,Oral
10,BooookScore: A systematic exploration of book-length summarization in the era of LLMs,"8,8,8,10","4,4,4,5",7.5,8.5,4.25,1,Oral
11,Generalization in diffusion models arises from geometry-adaptive harmonic representation,"8,8,8,10","4,4,3,4",8.5,8.5,3.75,0.33,Oral
12,Universal Graph Random Features,"8,8,8,8","3,4,4,5",5.75,8,4,0,Poster
13,Variational Bayesian Last Layers,"6,8,8,10","4,4,4,4",6.5,8,4,0,Spotlight
14,Diffusion Model for Dense Matching,"8,8,8,8","4,3,3,4",6.5,8,3.5,0,Oral
15,Vision Transformers Need Registers,"8,8,8,8","4,4,4,3",8,8,3.75,0,Oral
16,Flow Matching on General Geometries,"8,8,8","3,4,4",7.33,8,3.67,0,Oral
17,Robust agents learn causal world models,"6,8,8,10","4,3,3,4",7,8,3.5,0,Oral
18,Mastering Memory Tasks with World Models,"6,8,10","5,4,4",6.33,8,4.33,-0.87,Oral
19,Scaling Laws of RoPE-based Extrapolation,"6,8,10","5,5,4",6,8,4.67,-0.87,Poster
20,Spectrally Transformed Kernel Regression,"8,8,8,8,8","4,3,2,3,3",6.8,8,3,0,Spotlight
21,Generalization error of spectral algorithms,"8,8,8","3,3,2",8,8,2.67,0,Spotlight
22,A Policy Gradient Method for Confounded POMDPs,"8,8,8,8","2,3,3,1",6.5,8,2.25,0,Poster
23,Intriguing Properties of Generative Classifiers,"8,8,8","3,4,4",6.33,8,3.67,0,Spotlight
24,Self-Alignment with Instruction Backtranslation,"8,8,8,8","4,4,5,4",8,8,4.25,0,Oral
25,Batched Low-Rank Adaptation of Foundation Models,"8,8,8,8","4,3,2,4",7.5,8,3.25,0,Oral
26,FITS: Modeling Time Series with $10k$ Parameters,"8,8,8,8","2,3,4,4",6.5,8,3.25,0,Spotlight
27,Generative Modeling with Phase Stochastic Bridge,"8,8,8,8","2,4,3,4",7.5,8,3.25,0,Oral
28,Learning to Reject for Balanced Error and Beyond,"8,8,8,8","3,3,4,4",7.5,8,3.5,0,Spotlight
29,Protein Discovery with Discrete Walk-Jump Sampling,"8,8,8","4,3,4",7.33,8,3.67,0,Oral
31,Turning large language models into cognitive models,"8,8,8,8","3,5,5,5",6.75,8,4.5,0,Poster
32,Topological data analysis on noisy quantum computers,"8,8,8,8","2,2,3,4",7.25,8,2.75,0,Oral
33,Dynamic Discounted Counterfactual Regret Minimization,"8,8,8,8","3,3,4,5",7.5,8,3.75,0,Spotlight
34,Curiosity-driven Red-teaming for Large Language Models,"8,8,8,8","3,3,3,4",5.75,8,3.25,0,Poster
36,Neural SDF Flow for 3D Reconstruction of Dynamic Scenes,"8,8,8,8","5,4,4,4",6,8,4.25,0,Poster
37,Test-time Adaption against Multi-modal Reliability Bias,"8,8,8,8","5,5,4,5",7,8,4.75,0,Poster
39,Identifying Representations for Intervention Extrapolation,"8,8,8,8","4,4,4,4",7.5,8,4,0,Poster
